"city","name"
"http://dbpedia.org/resource/Abasan_al-Kabira","Abasan al-Kabira"
"http://dbpedia.org/resource/Aconchi","Aconchi"
"http://dbpedia.org/resource/Akaiwa","Akaiwa"
"http://dbpedia.org/resource/Alon_Shvut","Alon Shvut"
"http://dbpedia.org/resource/Altar,_Sonora","Altar, Sonora"
"http://dbpedia.org/resource/Apaseo_el_Alto","Apaseo el Alto"
"http://dbpedia.org/resource/Apaseo_el_Grande","Apaseo el Grande"
"http://dbpedia.org/resource/Apozol","Apozol"
"http://dbpedia.org/resource/Apulco","Apulco"
"http://dbpedia.org/resource/Arvi,_Wardha","Arvi, Wardha"
"http://dbpedia.org/resource/Asago,_Hyōgo","Asago, Hyōgo"
"http://dbpedia.org/resource/Ashta,_Maharashtra","Ashta, Maharashtra"
"http://dbpedia.org/resource/Babylon_Fortress","Babylon Fortress"
"http://dbpedia.org/resource/Baldim","Baldim"
"http://dbpedia.org/resource/Bareta","Bareta"
"http://dbpedia.org/resource/Baubau","Baubau"
"http://dbpedia.org/resource/Bazargan,_Iran","Bazargan, Iran"
"http://dbpedia.org/resource/Bernal,_Argentina","Bernal, Argentina"
"http://dbpedia.org/resource/Beznea","Beznea"
"http://dbpedia.org/resource/Biramsar","Biramsar"
"http://dbpedia.org/resource/Bolbanabad","Bolbanabad"
"http://dbpedia.org/resource/Bori_City","Bori City"
"http://dbpedia.org/resource/Bà_Rịa","Bà Rịa"
"http://dbpedia.org/resource/Caborca","Caborca"
"http://dbpedia.org/resource/Cabrils","Cabrils"
"http://dbpedia.org/resource/Catu","Catu"
"http://dbpedia.org/resource/Chake-Chake","Chake-Chake"
"http://dbpedia.org/resource/Changge","Changge"
"http://dbpedia.org/resource/Changi_Business_Park","Changi Business Park"
"http://dbpedia.org/resource/Chebba","Chebba"
"http://dbpedia.org/resource/Chijic","Chijic"
"http://dbpedia.org/resource/Choir,_Mongolia","Choir, Mongolia"
"http://dbpedia.org/resource/Chūō,_Yamanashi","Chūō, Yamanashi"
"http://dbpedia.org/resource/Concón","Concón"
"http://dbpedia.org/resource/Contrecœur,_Quebec","Contrecœur, Quebec"
"http://dbpedia.org/resource/Cormaia","Cormaia"
"http://dbpedia.org/resource/Coronel_Suárez","Coronel Suárez"
"http://dbpedia.org/resource/Coroneo","Coroneo"
"http://dbpedia.org/resource/Cristolțel","Cristolțel"
"http://dbpedia.org/resource/Cușmed","Cușmed"
"http://dbpedia.org/resource/Călata","Călata"
"http://dbpedia.org/resource/Defence_Housing_Authority,_Lahore","Defence Housing Authority, Lahore"
"http://dbpedia.org/resource/Deira,_Dubai","Deira, Dubai"
"http://dbpedia.org/resource/Delle,_Utah","Delle, Utah"
"http://dbpedia.org/resource/Desamparados","Desamparados"
"http://dbpedia.org/resource/Dessau-Roßlau","Dessau-Roßlau"
"http://dbpedia.org/resource/Fatehabad,_Haryana","Fatehabad, Haryana"
"http://dbpedia.org/resource/Firiza","Firiza"
"http://dbpedia.org/resource/Forestville,_Quebec","Forestville, Quebec"
"http://dbpedia.org/resource/Fort_Abbas","Fort Abbas"
"http://dbpedia.org/resource/Free_Imperial_City_of_Ulm","Free Imperial City of Ulm"
"http://dbpedia.org/resource/Gandhinagar,_Kolhapur","Gandhinagar, Kolhapur"
"http://dbpedia.org/resource/Gazanak","Gazanak"
"http://dbpedia.org/resource/General_Enrique_Estrada","General Enrique Estrada"
"http://dbpedia.org/resource/General_Pacheco","General Pacheco"
"http://dbpedia.org/resource/Gode","Gode"
"http://dbpedia.org/resource/Grande-Rivière,_Quebec","Grande-Rivière, Quebec"
"http://dbpedia.org/resource/Gârliște","Gârliște"
"http://dbpedia.org/resource/Halhul","Halhul"
"http://dbpedia.org/resource/Harmah","Harmah"
"http://dbpedia.org/resource/Hbaline","Hbaline"
"http://dbpedia.org/resource/Iadăra","Iadăra"
"http://dbpedia.org/resource/Itahari","Itahari"
"http://dbpedia.org/resource/Ixmiquilpan","Ixmiquilpan"
"http://dbpedia.org/resource/Ixtlán_del_Río","Ixtlán del Río"
"http://dbpedia.org/resource/Jalgaon,_Ratnagiri","Jalgaon, Ratnagiri"
"http://dbpedia.org/resource/Jaral_del_Progreso","Jaral del Progreso"
"http://dbpedia.org/resource/Kabudarahang","Kabudarahang"
"http://dbpedia.org/resource/Kalanaur,_Haryana","Kalanaur, Haryana"
"http://dbpedia.org/resource/Katō,_Hyōgo","Katō, Hyōgo"
"http://dbpedia.org/resource/Keokuk_Municipal_Airport","Keokuk Municipal Airport"
"http://dbpedia.org/resource/Kfarhata","Kfarhata"
"http://dbpedia.org/resource/Kfarhata_Zgharta","Kfarhata Zgharta"
"http://dbpedia.org/resource/Khudabad","Khudabad"
"http://dbpedia.org/resource/La_Barca_Municipality","La Barca Municipality"
"http://dbpedia.org/resource/Lajeado,_Rio_Grande_do_Sul","Lajeado, Rio Grande do Sul"
